Crop Disease,Fertilizer,Fungicide / Insecticide,Estimated Cost -1,Estimated Cost -2
Apple Cedar Rust,Urea (46-0-0),Copper-based fungicide,₹30-₹50 for 1 kg,₹250-₹400 for 250-500 ml
Corn Common Rust,NPK (20-20-20),Copper-based fungicide,₹80-₹150 for 1 kg,₹200-₹400 for 250-500 ml
Potato Early Blight,NPK (10-20-10),Chlorothalonil-based fungicide,₹80-₹150 for 1 kg,₹250-₹500 for 100-200 ml
Tomato Early Blight,NPK (15-15-15),Mancozeb-based fungicide,₹100-₹200 for 1 kg,₹150-₹300 for 250-500 gm
Tomato Yellow Curl Virus,NPK (20-20-20),Imidacloprid-based insecticide,₹80-₹150 for 1 kg,₹250-₹500 for 100-200 ml
